,foodkey,business_id,category,description,name,photo_num,photo_url,prices,restaurant,review_num,review_url,src
236,3124,uCsyRxfIfiRqQQuK_JlfZA,Burger & Sandwiches,"Poblano mayo, avocado, tomato, iceberg lettuce, pepper jack cheese, toasted ciabatta bread",Grilled Southwest Chicken Sandwich,1,/menu/harlem-tavern-new-york-2/item/grilled-southwest-chicken-sandwich,12.00,Harlem Tavern,1,/menu/harlem-tavern-new-york-2/item/grilled-southwest-chicken-sandwich#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/aT-JtH0eL2c5NDIUvi8o4Q/180s.jpg
237,3126,uCsyRxfIfiRqQQuK_JlfZA,Burger & Sandwiches,Poblano kimchi,BBQ Pulled Pork Sandwich,1,/menu/harlem-tavern-new-york-2/item/bbq-pulled-pork-sandwich,12.00,Harlem Tavern,10,/menu/harlem-tavern-new-york-2/item/bbq-pulled-pork-sandwich#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/xo4zrKkvcXMlzxW8iucEyg/180s.jpg
239,3133,uCsyRxfIfiRqQQuK_JlfZA,Mains,"Asparagus, olives, peppers, tomato confit, citrus herb vinaigrette",Cedar Plank Salmon,2,/menu/harlem-tavern-new-york-2/item/cedar-plank-salmon,22.00,Harlem Tavern,5,/menu/harlem-tavern-new-york-2/item/cedar-plank-salmon#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/6b5dEsd65G92JY0ePjENWA/180s.jpg
240,3134,uCsyRxfIfiRqQQuK_JlfZA,Mains,"Mashed potatoes, garlic green beans, country gravy",Buttermilk Fried Chicken,1,/menu/harlem-tavern-new-york-2/item/buttermilk-fried-chicken,22.00,Harlem Tavern,5,/menu/harlem-tavern-new-york-2/item/buttermilk-fried-chicken#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/erI9obKoj35oRqmWwcEhrA/180s.jpg
241,3137,uCsyRxfIfiRqQQuK_JlfZA,Sides,,French Fries,1,/menu/harlem-tavern-new-york-2/item/french-fries,4.00,Harlem Tavern,4,/menu/harlem-tavern-new-york-2/item/french-fries#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/EGxnOpua2J7qXgz5e44a-g/180s.jpg
242,3138,uCsyRxfIfiRqQQuK_JlfZA,Sides,,Sauteed Spinach,1,/menu/harlem-tavern-new-york-2/item/sauteed-spinach,4.00,Harlem Tavern,1,/menu/harlem-tavern-new-york-2/item/sauteed-spinach#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/rT15IugmjUCXFPlERbxquw/180s.jpg
243,3140,uCsyRxfIfiRqQQuK_JlfZA,Sides,,Sweet Potato Fries,7,/menu/harlem-tavern-new-york-2/item/sweet-potato-fries,5.00,Harlem Tavern,42,/menu/harlem-tavern-new-york-2/item/sweet-potato-fries#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/4irzMflVFjNKqkokhSvxkA/180s.jpg
244,3141,uCsyRxfIfiRqQQuK_JlfZA,Sides,,Mashed Potatoes,4,/menu/harlem-tavern-new-york-2/item/mashed-potatoes,4.00,Harlem Tavern,6,/menu/harlem-tavern-new-york-2/item/mashed-potatoes#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/1cr-c7ZR3dj88DrvJghaEg/180s.jpg
246,3342,_5BoZ_C5zEl5M_MxT1W39w,Beverages,,Coffee,2,/menu/cascabel-taqueria-new-york-2/item/coffee,3.00,Cascabel Taqueria,4,/menu/cascabel-taqueria-new-york-2/item/coffee#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/6jOzDja1iQWcAN84aeN_bw/180s.jpg
247,3347,_5BoZ_C5zEl5M_MxT1W39w,Brunch,"Crispy bacon, bananas and maple syrup.",French Toast,1,/menu/cascabel-taqueria-new-york-2/item/french-toast,9.00,Cascabel Taqueria,1,/menu/cascabel-taqueria-new-york-2/item/french-toast#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/eLJjCgRws_My_TPg6DHLyA/180s.jpg
